date,site,Borough,Pathway,NMCTR external delay,Total external delay days
15/06/2024,QEH,Bexley,Pathway 2,6,70
15/06/2024,QEH,Bexley,Pathway 3,4,44
15/06/2024,QEH,Greenwich,Pathway 0,2,4
15/06/2024,QEH,Greenwich,Pathway 1,6,19
15/06/2024,QEH,Greenwich,Pathway 2,8,70
15/06/2024,QEH,Greenwich,Pathway 3,8,82
15/06/2024,QEH,Other,Pathway 0,1,7
15/06/2024,QEH,Other,Pathway 1,1,3
15/06/2024,QEH,Other,Pathway 2,3,36
15/06/2024,QEH,Other,Pathway 3,1,4
15/06/2024,UHL,Bexley,Pathway 3,4,49
15/06/2024,UHL,Greenwich,Pathway 0,1,5
15/06/2024,UHL,Greenwich,Pathway 1,1,11
15/06/2024,UHL,Greenwich,Pathway 2,1,3
15/06/2024,UHL,Greenwich,Pathway 3,4,43
15/06/2024,UHL,Lewisham,Pathway 0,4,25
15/06/2024,UHL,Lewisham,Pathway 1,11,91
15/06/2024,UHL,Lewisham,Pathway 2,6,46
15/06/2024,UHL,Lewisham,Pathway 3,15,169
15/06/2024,UHL,Other,Pathway 0,2,16
15/06/2024,UHL,Other,Pathway 1,2,18
15/06/2024,UHL,Other,Pathway 3,2,18
16/06/2024,QEH,Bexley,Pathway 0,3,10
16/06/2024,QEH,Bexley,Pathway 1,4,21
16/06/2024,QEH,Bexley,Pathway 2,6,76
16/06/2024,QEH,Bexley,Pathway 3,4,48
16/06/2024,QEH,Greenwich,Pathway 0,2,6
16/06/2024,QEH,Greenwich,Pathway 1,5,19
16/06/2024,QEH,Greenwich,Pathway 2,8,78
16/06/2024,QEH,Greenwich,Pathway 3,8,90
16/06/2024,QEH,Other,Pathway 0,1,8
16/06/2024,QEH,Other,Pathway 1,1,4
16/06/2024,QEH,Other,Pathway 2,3,39
16/06/2024,QEH,Other,Pathway 3,1,5
16/06/2024,UHL,Bexley,Pathway 3,4,53
16/06/2024,UHL,Greenwich,Pathway 0,1,6
16/06/2024,UHL,Greenwich,Pathway 1,1,12
16/06/2024,UHL,Greenwich,Pathway 2,1,4
16/06/2024,UHL,Greenwich,Pathway 3,4,47
16/06/2024,UHL,Lewisham,Pathway 0,4,29
16/06/2024,UHL,Lewisham,Pathway 1,11,102
16/06/2024,UHL,Lewisham,Pathway 2,6,52
16/06/2024,UHL,Lewisham,Pathway 3,15,184
16/06/2024,UHL,Other,Pathway 0,2,18
16/06/2024,UHL,Other,Pathway 1,2,20
16/06/2024,UHL,Other,Pathway 3,2,20
17/06/2024,QEH,Bexley,Pathway 0,2,5
17/06/2024,QEH,Bexley,Pathway 1,8,24
17/06/2024,QEH,Bexley,Pathway 2,6,82
17/06/2024,QEH,Bexley,Pathway 3,4,42
17/06/2024,QEH,Greenwich,Pathway 0,3,6
17/06/2024,QEH,Greenwich,Pathway 1,6,16
17/06/2024,QEH,Greenwich,Pathway 2,10,98
17/06/2024,QEH,Greenwich,Pathway 3,9,101
17/06/2024,QEH,Other,Pathway 0,1,9
17/06/2024,QEH,Other,Pathway 1,1,5
